種類,出現時間,名前,移動パターン,X座標,Y座標,HP,スコア,アイテム
E,1,rumba,normal,1920,250,10,100,no
E,1.25,rumba,normal,1920,250,10,100,no
E,1.5,rumba,normal,1920,250,10,100,no
E,1.75,rumba,normal,1920,250,10,100,no
E,2,rumba_elite,normal,1920,250,10,300,banana
E,5,rumba,normal,1920,675,10,100,no
E,5.25,rumba,normal,1920,675,10,100,no
E,5.5,rumba,normal,1920,675,10,100,no
E,5.75,rumba,normal,1920,675,10,100,no
E,6,rumba_elite,normal,1920,675,10,300,flower_pot
E,8,rumba,normal,1920,250,10,100,no
E,8.25,rumba,normal,1920,250,10,100,no
E,8.5,rumba,normal,1920,250,10,100,no
E,8.75,rumba,normal,1920,250,10,100,no
E,9,rumba_elite,normal,1920,250,10,300,can
E,12,garbage_can,shot_straight,1920,100,50,500,no
E,12,garbage_can,shot_straight,1920,825,50,500,no
E,13,garbage_can,shot_straight,1920,100,50,500,no
E,13,garbage_can,shot_straight,1920,825,50,500,no
E,14,garbage_can_elite,shot_straight,1920,100,50,500,banana
E,14,garbage_can_elite,shot_straight,1920,825,50,500,flower_pot
E,17,rumba_big,shot_straight_three,1920,467,150,500,can
E,20,rumba_big,shot_straight_three,1920,267,150,500,flower_pot
E,20,rumba_big,shot_straight_three,1920,667,150,500,flower_pot
E,24,rumba_big,shot_straight_three,1920,167,150,500,banana
E,24,rumba_big,shot_straight_three,1920,767,150,500,banana
E,29,rumba,fast,1920,250,10,100,no
E,29.2,rumba,fast,1920,250,10,100,no
E,29.4,rumba,fast,1920,250,10,100,no
E,29.6,rumba,fast,1920,250,10,100,no
E,29.8,rumba_elite,fast,1920,250,10,300,branch
E,32,rumba,fast,1920,675,10,100,no
E,32.2,rumba,fast,1920,675,10,100,no
E,32.4,rumba,fast,1920,675,10,100,no
E,32.6,rumba,fast,1920,675,10,100,no
E,32.8,rumba_elite,fast,1920,675,10,300,umbrella
E,34,garbage_can,shot_straight,1920,100,50,500,no
E,34,garbage_can,shot_straight,1920,825,50,500,no
E,35,garbage_can,shot_straight,1920,100,50,500,no
E,35,garbage_can,shot_straight,1920,825,50,500,no
E,36,garbage_can,shot_straight,1920,100,50,500,no
E,36,garbage_can,shot_straight,1920,825,50,500,no
E,37,garbage_can,shot_straight,1920,100,50,500,no
E,37,garbage_can,shot_straight,1920,825,50,500,no
E,38,garbage_can,shot_straight,1920,100,50,500,no
E,38,garbage_can,shot_straight,1920,825,50,500,no
E,39,garbage_can_elite,shot_straight,1920,100,50,500,banana
E,39,garbage_can_elite,shot_straight,1920,825,50,500,umbrella
E,38,rumba_big,shot_straight_three,1920,467,150,500,bottle
E,40,rumba_big,shot_straight_three,1920,467,150,500,bottle
E,47,maker,maker,1920,825,150,1000,umbrella
E,50,maker,maker,1920,725,150,1000,umbrella
E,53,maker,maker,1920,625,150,1000,umbrella
E,48,rumba,fast,1920,150,10,100,no
E,48.2,rumba,fast,1920,150,10,100,no
E,48.4,rumba,fast,1920,150,10,100,no
E,48.6,rumba,fast,1920,150,10,100,no
E,48.8,rumba_elite,fast,1920,150,10,300,branch
E,51,rumba,fast,1920,150,10,100,no
E,51.2,rumba,fast,1920,150,10,100,no
E,51.4,rumba,fast,1920,150,10,100,no
E,51.6,rumba,fast,1920,150,10,100,no
E,51.8,rumba_elite,fast,1920,150,10,300,flower_pot
E,54,rumba,fast,1920,150,10,100,no
E,54.2,rumba,fast,1920,150,10,100,no
E,54.4,rumba,fast,1920,150,10,100,no
E,54.6,rumba,fast,1920,150,10,100,no
E,54.8,rumba_elite,fast,1920,150,10,300,bottle
E,60,rumba_big,shot_straight_three,1920,467,150,500,branch
E,61,rumba_big,shot_straight_three,1920,267,150,500,flower_pot
E,61,rumba_big,shot_straight_three,1920,667,150,500,flower_pot
E,70,rumba_green,boss_1,1920,467,1800,10000,no
